CASE_NO|ECLI|NAME
1/57|ECLI:EU:C:1957:13|Judgment of 10 December 1957, Usines à tubes de la Sarre / ECSC High Authority (1-57 and 14-57, ECR 1957-1958 p. 105)          (FR1957/00201 NL1957/00217 DE1957/00215 IT1957/00199 EN1957-1958/00105 DA1954-1964/00051 EL1954-1964/00167 PT1954-1961/00167)
2/57|ECLI:EU:C:1958:5|Judgment of 12 June 1958, Compagnie des hauts fourneaux de Chasse / ECSC High Authority (2/57, ECR 1957-1958 p. 199)          (FR1958/00131 NL1958/00137 DE1958/00135 IT1958/00123 EN1957-1958/00199 DA1954-1964/00101 EL1954-1964/00231 PT1954-1961/00233)
3/57||Algera / Common Assembly (3/57) , see Case  7/56
4/57||Cicconardi / Common Assembly (4/57) , see Case  7/56
5/57||Coturaud / Common Assembly (5/57) , see Case  7/56
6/57||Genuardi / Common Assembly (6/57) , see Case  7/56
7/57||Steichen / Common Assembly (7/57) , see Case  7/56
8/57|ECLI:EU:C:1958:9|Judgment of 21 June 1958, Groupement des hauts fourneaux et aciéries belges / ECSC High Authority (8/57, ECR 1957-1958 p. 245)          (FR1958/00225 NL1958/00241 DE1958/00233 IT1958/00215 EN1957-1958/00245 DA1954-1964/00105 EL1954-1964/00271 PT1954-1961/00259)
9/57|ECLI:EU:C:1958:12|Judgment of 26 June 1958, Chambre syndicale de la sidérurgie française / ECSC High Authority (9/57, ECR 1957-1958 p. 319)          (FR1958/00365 NL1958/00395 DE1958/00383 IT1958/00353 EN1957-1958/00319 DA1954-1964/00113 EL1954-1964/00279 PT1954-1961/00271)
10/57|ECLI:EU:C:1958:13|Judgment of 26 June 1958, Aubert & Duval / ECSC High Authority (10/57, ECR 1957-1958 p. 339)          (FR1958/00401 NL1958/00435 DE1958/00423 IT1958/00389 EN1957-1958/00339 DA1954-1964/00117 EL1954-1964/00283 PT1954-1961/00277)
11/57|ECLI:EU:C:1958:14|Judgment of 26 June 1958, Electro-Chimie and others / ECSC High Authority (11/57, ECR 1957-1958 p. 357)          (FR1958/00437 NL1958/00473 DE1958/00461 IT1958/00423 EN1957-1958/00357 DA1954-1964/00119 EL1954-1964/00287 PT1954-1961/00281)
12/57|ECLI:EU:C:1958:15|Judgment of 26 June 1958, Syndicat de la sidérurgie du Centre-Midi / ECSC High Authority (12/57, ECR 1957-1958 p. 375)          (FR1958/00473 NL1958/00511 DE1958/00499 IT1958/00457 EN1957-1958/00375 DA1954-1964/00121 EL1954-1964/00291 PT1954-1961/00285)
13/57|ECLI:EU:C:1958:10|Judgment of 21 June 1958, Wirtschaftsvereinigung Eisen- und Stahlindustrie / ECSC High Authority (13/57, ECR 1957-1958 p. 265)          (FR1958/00263 NL1958/00281 DE1958/00273 IT1958/00253 EN1957-1958/00265 DA1954-1964/00109 EL1954-1964/00275 PT1954-1961/00265)
14/57||Usines à tubes de la Sarre / ECSC High Authority (14/57) , see Case  1/57
15/57|ECLI:EU:C:1958:6|Judgment of 12 June 1958, Compagnie des hauts fourneaux de Chasse / ECSC High Authority (15/57, ECR 1957-1958 p. 211)          (FR1958/00157 NL1958/00165 DE1958/00161 IT1958/00149 EN1957-1958/00211 DA1954-1964/00103 EL1954-1964/00235 PT1954-1961/00237 ES1954-1960/00185)
16/57|ECLI:EU:C:1958:1|Removed from the register on 13 March 1958, Geitling / ECSC High Authority (16/57)
17/57|ECLI:EU:C:1959:3|Judgment of 4 February 1959, De gezamenlijke Steenkolemijnen in Limburg / ECSC High Authority (17/57, ECR 1959 p. 1)          (FR1959/00009 NL1959/00011 DE1959/00011 IT1959/00011 EN1959/00001 DA1954-1964/00125 EL1954-1964/00295 PT1954-1961/00289)
18/57|ECLI:EU:C:1957:11|Order of 4 December 1957, Nold KG / ECSC High Authority (18/57 R, ECR 1957-1958 p. 121)          (FR1957/00233 NL1957/00249 DE1957/00249 IT1957/00231 EN1957-1958/00121 DA1954-1964/00053 PT1954-1961/00171)
18/57|ECLI:EU:C:1959:6|Judgment of 20 March 1959, Nold KG / ECSC High Authority (18/57, ECR 1959 p. 41)          (FR1959/00089 NL1959/00095 DE1959/00091 IT1959/00087 EN1959/00041 DA1954-1964/00131 EL1954-1964/00323 PT1954-1961/00315)
19/57|ECLI:EU:C:1958:23|Removed from the register on 19 December 1958, Merlini / ECSC High Authority (19/57)
1/58|ECLI:EU:C:1959:4|Judgment of 4 February 1959, Stork & Cie. / ECSC High Authority (1/58, ECR 1959 p. 17)          (FR1959/00043 NL1959/00045 DE1959/00045 IT1959/00043 EN1959/00017 DA1954-1964/00127 EL1954-1964/00299 PT1954-1961/00293 ES1954-1960/00223)
2/58|ECLI:EU:C:1961:4|Removed from the register on 10 March 1961, France / ECSC High Authority (2/58)
3/58|ECLI:EU:C:1960:16|Order of 11 April 1960, Barbara Erzbergbau / ECSC High Authority (3-58 to 18-58, 25-58 and 26-58, ECR 1960 p. 220)          (FR1960/00459 NL1960/00469 DE1960/00471 IT1960/00445 EN1960/00220)
3/58|ECLI:EU:C:1960:18|Judgment of 10 May 1960, Barbara Erzbergbau / ECSC High Authority (3-58 to 18-58, 25-58 and 26-58, ECR 1960 p. 173)          (FR1960/00369 NL1960/00377 DE1960/00375 IT1960/00359 EN1960/00173 DA1954-1964/00179 EL1954-1964/00391 PT1954-1961/00397)
4/58||Gewerkschaft Louise / ECSC High Authority (4/58) , see Case  3/58
5/58||Harz-Lahn-Erzbergbau / ECSC High Authority (5/58) , see Case  3/58
6/58||Mannesmann / ECSC High Authority (6/58) , see Case  3/58
7/58||Erzbergbau Siegerland / ECSC High Authority (7/58) , see Case  3/58
8/58||Erzbergbau Staufenstolln / ECSC High Authority (8/58) , see Case  3/58
9/58||Berg- und Hüttenwerke / ECSC High Authority (9/58) , see Case  3/58
10/58||Stahlwerke / ECSC High Authority (10/58) , see Case  3/58
