CASE_NO|ECLI|NAME
174/08|ECLI:EU:C:2009:669|Judgment of 29 October 2009, NCC Construction Danmark (C-174/08, ECR 2009 p. I-10567)
175/08|ECLI:EU:C:2010:105|Judgment of 2 March 2010, Salahadin Abdulla and others (C-175/08, C-176/08, C-178/08 and C-179/08, ECR 2010 p. I-1493)
176/08||Hasan (C-176/08) , see Case  C-175/08
177/08|ECLI:EU:C:2008:452|Removed from the register on 4 August 2008, Abdullah (C-177/08)
178/08||Adem and Rashi (C-178/08) , see Case  C-175/08
179/08||Jamal (C-179/08) , see Case  C-175/08
180/08|ECLI:EU:C:2008:627|Order of 13 November 2008, Kastrinaki (C-180/08 and C-186/08, ECR 2008 p. I-157*, Summ.pub.)
181/08|ECLI:EU:C:2008:673|Removed from the register on 3 December 2008, Commission / Austria (C-181/08)
182/08|ECLI:EU:C:2009:559|Judgment of 17 September 2009, Glaxo Wellcome (C-182/08, ECR 2009 p. I-8591)
183/08|ECLI:EU:C:2009:136|Order of 5 March 2009, Commission / Provincia di Imperia (C-183/08 P, ECR 2009 p. I-27*, Summ.pub.)
184/08|ECLI:EU:C:2009:184|Judgment of 24 March 2009, Commission / Luxembourg (C-184/08, ECR 2009 p. I-44*, Summ.pub.)
185/08|ECLI:EU:C:2010:619|Judgment of 21 October 2010, Latchways and Eurosafe Solutions (C-185/08, ECR 2010 p. I-9983)
186/08||Kastrinaki (C-186/08) , see Case  C-180/08
187/08|ECLI:EU:C:2008:674|Removed from the register on 3 December 2008, Commission / Belgium (C-187/08)
188/08|ECLI:EU:C:2009:670|Judgment of 29 October 2009, Commission / Ireland (C-188/08, ECR 2009 p. I-172*, Summ.pub.)
189/08|ECLI:EU:C:2009:475|Judgment of 16 July 2009, Zuid-Chemie (C-189/08, ECR 2009 p. I-6917)
190/08|ECLI:EU:C:2008:653|Removed from the register on 25 November 2008, Commission / Netherlands (C-190/08)
191/08|ECLI:EU:C:2008:600|Removed from the register on 5 November 2008, Commission / Portugal (C-191/08)
192/08|ECLI:EU:C:2009:696|Judgment of 12 November 2009, TeliaSonera Finland (C-192/08, ECR 2009 p. I-10717)
193/08|ECLI:EU:C:2009:121|Removed from the register on 3 March 2009, Fischer (C-193/08)
194/08|ECLI:EU:C:2010:386|Judgment of 1 July 2010, Gassmayr (C-194/08, ECR 2010 p. I-6281)
195/08|ECLI:EU:C:2008:406|Judgment of 11 July 2008, Rinau (C-195/08 PPU, ECR 2008 p. I-5271)
196/08|ECLI:EU:C:2009:628|Judgment of 15 October 2009, Acoset (C-196/08, ECR 2009 p. I-9913)
197/08|ECLI:EU:C:2010:111|Judgment of 4 March 2010, Commission / France (C-197/08, ECR 2010 p. I-1599)
198/08|ECLI:EU:C:2010:112|Judgment of 4 March 2010, Commission / Austria (C-198/08, ECR 2010 p. I-1645)
199/08|ECLI:EU:C:2009:538|Judgment of 10 September 2009, Eschig (C-199/08, ECR 2009 p. I-8295)
200/08|ECLI:EU:C:2010:387|Removed from the register on 1 July 2010, Commission / France (C-200/08)
201/08|ECLI:EU:C:2009:539|Judgment of 10 September 2009, Plantanol (C-201/08, ECR 2009 p. I-8343)
202/08|ECLI:EU:C:2009:477|Judgment of 16 July 2009, American Clothing Associates / OHIM (C-202/08 P and C-208/08 P, ECR 2009 p. I-6933)
203/08|ECLI:EU:C:2010:307|Judgment of 3 June 2010, Sporting Exchange (C-203/08, ECR 2010 p. I-4695)
204/08|ECLI:EU:C:2009:439|Judgment of 9 July 2009, Rehder (C-204/08, ECR 2009 p. I-6073)
205/08|ECLI:EU:C:2009:767|Judgment of 10 December 2009, Umweltanwalt von Kärnten (C-205/08, ECR 2009 p. I-11525)
206/08|ECLI:EU:C:2009:540|Judgment of 10 September 2009, Eurawasser (C-206/08, ECR 2009 p. I-8377)
207/08|ECLI:EU:C:2008:407|Order of 11 July 2008, Babanov (C-207/08, ECR 2008 p. I-108*, Summ.pub.)
208/08||OHIM / American Clothing Associates (C-208/08 P) , see Case  C-202/08 P
209/08|ECLI:EU:C:2008:776|Removed from the register on 23 December 2008, Commission / Luxembourg (C-209/08)
210/08|ECLI:EU:C:2009:22|Order of 20 January 2009, Sebirán / OHIM (C-210/08 P, ECR 2009 p. I-6*, Summ.pub.)
211/08|ECLI:EU:C:2010:340|Judgment of 15 June 2010, Commission / Spain (C-211/08, ECR 2010 p. I-5267)
212/08|ECLI:EU:C:2011:437|Judgment of 30 June 2011, Zeturf (C-212/08, ECR 2011 p. I-5633)
213/08|ECLI:EU:C:2009:202|Removed from the register on 26 March 2009, Commission / Spain (C-213/08)
214/08|ECLI:EU:C:2009:330|Judgment of 20 May 2009, Guigard / Commission (C-214/08 P, ECR 2009 p. I-91*, Summ.pub.)
215/08|ECLI:EU:C:2010:186|Judgment of 15 April 2010, E. Friz (C-215/08, ECR 2010 p. I-2947)
216/08|ECLI:EU:C:2008:228|Decision of 16 April 2008, Review of judgment T-414/06 P (C-216/08 RX, unpublished)
217/08|ECLI:EU:C:2009:160|Order of 17 March 2009, Mariano (C-217/08, ECR 2009 p. I-35*, Summ.pub.)
218/08|ECLI:EU:C:2008:634|Removed from the register on 18 November 2008, Commission / Italy (C-218/08)
219/08|ECLI:EU:C:2009:599|Judgment of 1 October 2009, Commission / Belgium (C-219/08, ECR 2009 p. I-9213)
220/08|ECLI:EU:C:2008:654|Removed from the register on 26 November 2008, Commission / Greece (C-220/08)
221/08|ECLI:EU:C:2010:113|Judgment of 4 March 2010, Commission / Ireland (C-221/08, ECR 2010 p. I-1669)
222/08|ECLI:EU:C:2010:583|Judgment of 6 October 2010, Commission / Belgium (C-222/08, ECR 2010 p. I-9017)
223/08|ECLI:EU:C:2008:691|Judgment of 4 December 2008, Commission / Luxembourg (C-223/08, ECR 2008 p. I-178*, Summ.pub.)
224/08|ECLI:EU:C:2009:72|Judgment of 10 February 2009, Commission / France (C-224/08, ECR 2009 p. I-17*, Summ.pub.)
225/08|ECLI:EU:C:2009:406|Order of 29 June 2009, Nuova Agricast / Commission (C-225/08 P, ECR 2009 p. I-111*, Summ.pub.)
226/08|ECLI:EU:C:2010:10|Judgment of 14 January 2010, Stadt Papenburg (C-226/08, ECR 2010 p. I-131)
227/08|ECLI:EU:C:2009:792|Judgment of 17 December 2009, Martín Martín (C-227/08, ECR 2009 p. I-11939)
228/08|ECLI:EU:C:2009:390|Removed from the register on 22 June 2009, Du Pont de Nemours (France) and others / Commission (C-228/08 P(R))
229/08|ECLI:EU:C:2010:3|Judgment of 12 January 2010, Wolf (C-229/08, ECR 2010 p. I-1)
230/08|ECLI:EU:C:2010:231|Judgment of 29 April 2010, Dansk Transport og Logistik (C-230/08, ECR 2010 p. I-3799)
231/08|ECLI:EU:C:2009:50|Order of 3 February 2009, Giannini / Commission (C-231/08 P, ECR 2009 p. I-11*, ECR-SC p. I-B-2-3, II-B-2-25, Summ.pub.)
232/08|ECLI:EU:C:2009:629|Judgment of 15 October 2009, Commission / Netherlands (C-232/08, ECR 2009 p. I-166*, Summ.pub.)
233/08|ECLI:EU:C:2010:11|Judgment of 14 January 2010, Kyrian (C-233/08, ECR 2010 p. I-177)
234/08|ECLI:EU:C:2009:153|Removed from the register on 12 March 2009, Commission / Ireland (C-234/08)
235/08|ECLI:EU:C:2010:599|Removed from the register on 8 October 2010, Langer (C-235/08)
236/08|ECLI:EU:C:2010:159|Judgment of 23 March 2010, Google France and Google (C-236/08 to C-238/08, ECR 2010 p. I-2417)
237/08||Google France (C-237/08) , see Case  C-236/08
238/08||Google France (C-238/08) , see Case  C-236/08
239/08|ECLI:EU:C:2008:719|Judgment of 11 December 2008, Commission / Belgium (C-239/08, ECR 2008 p. I-190*, Summ.pub.)
240/08|ECLI:EU:C:2008:692|Removed from the register on 4 December 2008, Commission / Luxembourg (C-240/08)
241/08|ECLI:EU:C:2010:114|Judgment of 4 March 2010, Commission / France (C-241/08, ECR 2010 p. I-1697)
242/08|ECLI:EU:C:2009:647|Judgment of 22 October 2009, Swiss Re Germany Holding (C-242/08, ECR 2009 p. I-10099)
243/08|ECLI:EU:C:2009:350|Judgment of 4 June 2009, Pannon GSM (C-243/08, ECR 2009 p. I-4713)
244/08|ECLI:EU:C:2009:478|Judgment of 16 July 2009, Commission / Italy (C-244/08, ECR 2009 p. I-130*, Summ.pub.)
245/08|ECLI:EU:C:2009:175|Judgment of 19 March 2009, Commission / Portugal (C-245/08, ECR 2009 p. I-42*, Summ.pub.)
246/08|ECLI:EU:C:2009:671|Judgment of 29 October 2009, Commission / Finland (C-246/08, ECR 2009 p. I-10605)
247/08|ECLI:EU:C:2009:600|Judgment of 1 October 2009, Gaz de France - Berliner Investissement (C-247/08, ECR 2009 p. I-9225)
248/08|ECLI:EU:C:2009:793|Judgment of 17 December 2009, Commission / Greece (C-248/08, ECR 2009 p. I-221*, Summ.pub.)
249/08|ECLI:EU:C:2009:672|Judgment of 29 October 2009, Commission / Italy (C-249/08, ECR 2009 p. I-173*, Summ.pub.)
250/08|ECLI:EU:C:2011:793|Judgment of 1 December 2011, Commission / Belgium (C-250/08, ECR 2011 p. I-12341)
251/08|ECLI:EU:C:2009:161|Order of 17 March 2009, Ayyanarsamy / Commission and Germany (C-251/08 P, ECR 2009 p. I-36*, Summ.pub.)
251/08|ECLI:EU:C:2009:162|Order of 17 March 2009, Ayyanarsamy / Commission and Germany (C-251/08 P-R, ECR 2009 p. I-37*, Summ.pub.)
252/08|ECLI:EU:C:2009:601|Judgment of 1 October 2009, Commission / Malta (C-252/08, ECR 2009 p. I-159*, Summ.pub.)
253/08|ECLI:EU:C:2009:321|Judgment of 19 May 2009, Commission / Portugal (C-253/08, ECR 2009 p. I-85*, Summ.pub.)
254/08|ECLI:EU:C:2009:479|Judgment of 16 July 2009, Futura Immobiliare and others (C-254/08, ECR 2009 p. I-6995)
255/08|ECLI:EU:C:2009:630|Judgment of 15 October 2009, Commission / Netherlands (C-255/08, ECR 2009 p. I-167*, Summ.pub.)
256/08|ECLI:EU:C:2009:283|Judgment of 30 April 2009, Commission / United Kingdom (C-256/08, ECR 2009 p. I-71*, Summ.pub.)
257/08|ECLI:EU:C:2009:23|Removed from the register on 20 January 2009, Commission / Italy (C-257/08)
258/08|ECLI:EU:C:2010:308|Judgment of 3 June 2010, Ladbrokes Betting & Gaming and Ladbrokes International (C-258/08, ECR 2010 p. I-4757)
259/08|ECLI:EU:C:2009:13|Judgment of 15 January 2009, Commission / Greece (C-259/08, ECR 2009 p. I-2*, Summ.pub.)
260/08|ECLI:EU:C:2009:768|Judgment of 10 December 2009, HEKO Industrieerzeugnisse (C-260/08, ECR 2009 p. I-11571)
261/08|ECLI:EU:C:2009:648|Judgment of 22 October 2009, Zurita García and Choque Cabrera (C-261/08 and C-348/08, ECR 2009 p. I-10143)
262/08|ECLI:EU:C:2010:328|Judgment of 10 June 2010, CopyGene (C-262/08, ECR 2010 p. I-5053)
263/08|ECLI:EU:C:2009:631|Judgment of 15 October 2009, Djurgården-Lilla Värtans Miljöskyddsförening (C-263/08, ECR 2009 p. I-9967)
264/08|ECLI:EU:C:2010:43|Judgment of 28 January 2010, Direct Parcel Distribution Belgium (C-264/08, ECR 2010 p. I-731)
265/08|ECLI:EU:C:2010:205|Judgment of 20 April 2010, Federutility and others (C-265/08, ECR 2010 p. I-3377)
266/08|ECLI:EU:C:2009:311|Judgment of 14 May 2009, Commission / Spain (C-266/08, ECR 2009 p. I-80*, Summ.pub.)
267/08|ECLI:EU:C:2009:619|Judgment of 6 October 2009, SPÖ Landesorganisation Kärnten (C-267/08, ECR 2009 p. I-9781)
268/08|ECLI:EU:C:2009:122|Order of 3 March 2009, Michail / Commission (C-268/08 P, ECR 2009 p. I-23*, ECR-SC p. I-B-2-5, II-B-2-51, Summ.pub.)
269/08|ECLI:EU:C:2009:54|Removed from the register on 5 February 2009, Commission / Malta (C-269/08)
270/08|ECLI:EU:C:2008:595|Removed from the register on 28 October 2008, Commission / Hungary (C-270/08)
271/08|ECLI:EU:C:2010:426|Judgment of 15 July 2010, Commission / Germany (C-271/08, ECR 2010 p. I-7091)
272/08|ECLI:EU:C:2009:442|Judgment of 9 July 2009, Commission / Spain (C-272/08, ECR 2009 p. I-118*, Summ.pub.)
273/08|ECLI:EU:C:2008:754|Judgment of 18 December 2008, Commission / Luxembourg (C-273/08, ECR 2008 p. I-194*, Summ.pub.)
274/08|ECLI:EU:C:2009:673|Judgment of 29 October 2009, Commission / Sweden (C-274/08, ECR 2009 p. I-10647)
275/08|ECLI:EU:C:2009:632|Judgment of 15 October 2009, Commission / Germany (C-275/08, ECR 2009 p. I-168*, Summ.pub.)
276/08|ECLI:EU:C:2008:557|Removed from the register on 13 October 2008, Rimoumi and Prick (C-276/08)
277/08|ECLI:EU:C:2009:542|Judgment of 10 September 2009, Vicente Pereda (C-277/08, ECR 2009 p. I-8405)
278/08|ECLI:EU:C:2010:163|Judgment of 25 March 2010, BergSpechte (C-278/08, ECR 2010 p. I-2517)
279/08|ECLI:EU:C:2011:551|Judgment of 8 September 2011, Commission / Netherlands (C-279/08 P, ECR 2011 p. I-7671)
280/08|ECLI:EU:C:2010:603|Judgment of 14 October 2010, Deutsche Telekom / Commission (C-280/08 P, ECR 2010 p. I-9555)
281/08|ECLI:EU:C:2009:728|Order of 24 November 2009, Landtag Schleswig-Holstein / Commission (C-281/08 P, ECR 2009 p. I-199*, Summ.pub.)
282/08|ECLI:EU:C:2009:55|Judgment of 5 February 2009, Commission / Luxembourg (C-282/08, ECR 2009 p. I-13*, Summ.pub.)
283/08|ECLI:EU:C:2008:737|Removed from the register on 17 December 2008, Commission / Netherlands (C-283/08)
284/08|ECLI:EU:C:2009:137|Removed from the register on 5 March 2009, Commission / United Kingdom (C-284/08)
285/08|ECLI:EU:C:2009:351|Judgment of 4 June 2009, Moteurs Leroy Somer (C-285/08, ECR 2009 p. I-4733)
286/08|ECLI:EU:C:2009:543|Judgment of 10 September 2009, Commission / Greece (C-286/08, ECR 2009 p. I-142*, Summ.pub.)
287/08|ECLI:EU:C:2008:539|Order of 3 October 2008, Savia and others (C-287/08, ECR 2008 p. I-136*, Summ.pub.)
288/08|ECLI:EU:C:2009:718|Judgment of 19 November 2009, Nordiska Dental (C-288/08, ECR 2009 p. I-11031)
289/08|ECLI:EU:C:2009:154|Judgment of 12 March 2009, Commission / Luxembourg (C-289/08, ECR 2009 p. I-31*, Summ.pub.)
290/08|ECLI:EU:C:2009:73|Order of 10 February 2009, Correia de Matos / Commission (C-290/08 P, ECR 2009 p. I-18*, Summ.pub.)
291/08|ECLI:EU:C:2009:43|Removed from the register on 30 January 2009, Commission / Austria (C-291/08)
292/08|ECLI:EU:C:2009:544|Judgment of 10 September 2009, German Graphics Graphische Maschinen (C-292/08, ECR 2009 p. I-8421)
293/08|ECLI:EU:C:2009:56|Judgment of 5 February 2009, Commission / Finland (C-293/08, ECR 2009 p. I-15*, Summ.pub.)
294/08|ECLI:EU:C:2009:116|Removed from the register on 2 March 2009, Commission / Czech Republic (C-294/08)
295/08|ECLI:EU:C:2009:407|Order of 29 June 2009, Cofra / Commission (C-295/08 P, ECR 2009 p. I-112*, Summ.pub.)
296/08|ECLI:EU:C:2008:457|Judgment of 12 August 2008, Santesteban Goicoechea (C-296/08 PPU, ECR 2008 p. I-6307)
297/08|ECLI:EU:C:2010:115|Judgment of 4 March 2010, Commission / Italy (C-297/08, ECR 2010 p. I-1749)
298/08|ECLI:EU:C:2009:155|Judgment of 12 March 2009, Commission / Greece (C-298/08, ECR 2009 p. I-32*, Summ.pub.)
299/08|ECLI:EU:C:2009:769|Judgment of 10 December 2009, Commission / France (C-299/08, ECR 2009 p. I-11587)
300/08|ECLI:EU:C:2009:370|Order of 11 June 2009, Leche Celta / OHIM (C-300/08 P, ECR 2009 p. I-101*, Summ.pub.)
300/08|ECLI:EU:C:2010:655|Order of 29 October 2010, Celia / Leche Celta (C-300/08, ECR 2010 p. I-142*, Summ.pub.)
301/08|ECLI:EU:C:2009:649|Judgment of 22 October 2009, Bogiatzi (C-301/08, ECR 2009 p. I-10185)
302/08|ECLI:EU:C:2009:422|Judgment of 2 July 2009, Zino Davidoff (C-302/08, ECR 2009 p. I-5671)
303/08|ECLI:EU:C:2010:800|Judgment of 22 December 2010, Bozkurt (C-303/08, ECR 2010 p. I-13445)
304/08|ECLI:EU:C:2010:12|Judgment of 14 January 2010, Plus Warenhandelsgesellschaft (C-304/08, ECR 2010 p. I-217)
305/08|ECLI:EU:C:2009:807|Judgment of 23 December 2009, CoNISMa (C-305/08, ECR 2009 p. I-12129)
306/08|ECLI:EU:C:2011:347|Judgment of 26 May 2011, Commission / Spain (C-306/08, ECR 2011 p. I-4541)
307/08|ECLI:EU:C:2010:155|Removed from the register on 19 March 2010, Commission / Belgium (C-307/08)
308/08|ECLI:EU:C:2010:281|Judgment of 20 May 2010, Commission / Spain (C-308/08, ECR 2010 p. I-4281)
309/08|ECLI:EU:C:2009:560|Removed from the register on 17 September 2009, Commission / Poland (C-309/08)
310/08|ECLI:EU:C:2010:80|Judgment of 23 February 2010, Ibrahim and Secretary of State for the Home Department (C-310/08, ECR 2010 p. I-1065)
311/08|ECLI:EU:C:2010:26|Judgment of 21 January 2010, SGI (C-311/08, ECR 2010 p. I-487)
312/08|ECLI:EU:C:2009:231|Removed from the register on 2 April 2009, Commission / United Kingdom (C-312/08)
313/08|ECLI:EU:C:2009:323|Judgment of 19 May 2009, Commission / Italy (C-313/08, ECR 2009 p. I-86*, Summ.pub.)
314/08|ECLI:EU:C:2009:719|Judgment of 19 November 2009, Filipiak (C-314/08, ECR 2009 p. I-11049)
315/08|ECLI:EU:C:2011:618|Order of 29 September 2011, Grisoli (C-315/08, ECR 2011 p. I-139*, Summ.pub.)
316/08|ECLI:EU:C:2010:81|Removed from the register on 23 February 2010, Latex (C-316/08)
317/08|ECLI:EU:C:2010:146|Judgment of 18 March 2010, Alassini and others (C-317/08 to C-320/08, ECR 2010 p. I-2213)
318/08||Califano (C-318/08) , see Case  C-317/08
319/08||Iacono (C-319/08) , see Case  C-317/08
320/08||Multiservice (C-320/08) , see Case  C-317/08
321/08|ECLI:EU:C:2009:265|Judgment of 23 April 2009, Commission / Spain (C-321/08, ECR 2009 p. I-63*, Summ.pub.)
322/08|ECLI:EU:C:2009:312|Judgment of 14 May 2009, Commission / Sweden (C-322/08, ECR 2009 p. I-81*, Summ.pub.)
323/08|ECLI:EU:C:2009:770|Judgment of 10 December 2009, Rodríguez Mayor and others (C-323/08, ECR 2009 p. I-11621)
324/08|ECLI:EU:C:2009:633|Judgment of 15 October 2009, Makro Zelfbedieningsgroothandel and others (C-324/08, ECR 2009 p. I-10019)
325/08|ECLI:EU:C:2010:143|Judgment of 16 March 2010, Olympique Lyonnais (C-325/08, ECR 2010 p. I-2177)
326/08|ECLI:EU:C:2009:176|Removed from the register on 20 March 2009, Commission / Germany (C-326/08)
327/08|ECLI:EU:C:2009:371|Judgment of 11 June 2009, Commission / France (C-327/08, ECR 2009 p. I-102*, Summ.pub.)
328/08|ECLI:EU:C:2008:775|Judgment of 22 December 2008, Commission / Finland (C-328/08, ECR 2008 p. I-200*, Summ.pub.)
329/08|ECLI:EU:C:2009:139|Removed from the register on 6 March 2009, Commission / Belgium (C-329/08)
330/08|ECLI:EU:C:2008:720|Judgment of 11 December 2008, Commission / France (C-330/08, ECR 2008 p. I-191*, Summ.pub.)
331/08|ECLI:EU:C:2009:185|Judgment of 24 March 2009, Commission / Luxembourg (C-331/08, ECR 2009 p. I-45*, Summ.pub.)
332/08|ECLI:EU:C:2009:113|Removed from the register on 19 February 2009, Commission / France (C-332/08)
333/08|ECLI:EU:C:2010:44|Judgment of 28 January 2010, Commission / France (C-333/08, ECR 2010 p. I-757)
334/08|ECLI:EU:C:2010:414|Judgment of 8 July 2010, Commission / Italy (C-334/08, ECR 2010 p. I-6869)
335/08|ECLI:EU:C:2009:372|Judgment of 11 June 2009, Transports Schiocchet - Excursions / Commission (C-335/08 P, ECR 2009 p. I-104*, Summ.pub.)
336/08|ECLI:EU:C:2010:604|Order of 14 October 2010, Reinke (C-336/08, ECR 2010 p. I-130*, Summ.pub.)
337/08|ECLI:EU:C:2010:89|Judgment of 25 February 2010, X Holding (C-337/08, ECR 2010 p. I-1215)
338/08|ECLI:EU:C:2010:364|Judgment of 24 June 2010, P. Ferrero e C. (C-338/08 and C-339/08, ECR 2010 p. I-5743)
339/08||General Beverage Europe (C-339/08) , see Case  C-338/08
340/08|ECLI:EU:C:2010:232|Judgment of 29 April 2010, M and others (C-340/08, ECR 2010 p. I-3913)
341/08|ECLI:EU:C:2010:4|Judgment of 12 January 2010, Petersen (C-341/08, ECR 2010 p. I-47)
342/08|ECLI:EU:C:2009:156|Judgment of 12 March 2009, Commission / Belgium (C-342/08, ECR 2009 p. I-33*, Summ.pub.)
343/08|ECLI:EU:C:2010:14|Judgment of 14 January 2010, Commission / Czech Republic (C-343/08, ECR 2010 p. I-275)
344/08|ECLI:EU:C:2009:482|Judgment of 16 July 2009, Rubach (C-344/08, ECR 2009 p. I-7033)
345/08|ECLI:EU:C:2009:771|Judgment of 10 December 2009, Peśla (C-345/08, ECR 2009 p. I-11677)
346/08|ECLI:EU:C:2010:213|Judgment of 22 April 2010, Commission / United Kingdom (C-346/08, ECR 2010 p. I-3491)
347/08|ECLI:EU:C:2009:561|Judgment of 17 September 2009, Vorarlberger Gebietskrankenkasse (C-347/08, ECR 2009 p. I-8661)
348/08||Choque Cabrera (C-348/08) , see Case  C-261/08
349/08|ECLI:EU:C:2009:324|Order of 19 May 2009, Kronberger / Parliament (C-349/08 P, ECR 2009 p. I-87*, Summ.pub.)
349/08|ECLI:EU:C:2009:325|Order of 19 May 2009, Kronberger / Parliament (C-349/08 P-R, ECR 2009 p. I-88*, Summ.pub.)
350/08|ECLI:EU:C:2010:642|Judgment of 28 October 2010, Commission / Lithuania (C-350/08, ECR 2010 p. I-10525)
351/08|ECLI:EU:C:2009:697|Judgment of 12 November 2009, Grimme (C-351/08, ECR 2009 p. I-10777)
352/08|ECLI:EU:C:2010:282|Judgment of 20 May 2010, Modehuis A. Zwijnenburg (C-352/08, ECR 2010 p. I-4303)
353/08|ECLI:EU:C:2009:688|Order of 9 November 2009, A. Menarini and others (C-353/08, ECR 2009 p. I-183*, Summ.pub.)
354/08|ECLI:EU:C:2009:115|Removed from the register on 26 February 2009, Commission / France (C-354/08)
355/08|ECLI:EU:C:2009:286|Order of 5 May 2009, WWF-UK / Council (C-355/08 P, ECR 2009 p. I-73*, Summ.pub.)
356/08|ECLI:EU:C:2009:401|Judgment of 25 June 2009, Commission / Austria (C-356/08, ECR 2009 p. I-108*, Summ.pub.)
357/08|ECLI:EU:C:2009:562|Removed from the register on 17 September 2009, Commission / Greece (C-357/08)
358/08|ECLI:EU:C:2009:744|Judgment of 2 December 2009, Aventis Pasteur (C-358/08, ECR 2009 p. I-11305)
359/08|ECLI:EU:C:2009:232|Removed from the register on 2 April 2009, Stichting Greenpeace Nederland (C-359/08, C-360/08 and C-361/08)
360/08||Stichting Greenpeace Nederland and Stichting VoMiGen (C-360/08) , see Case  C-359/08
361/08||Stichting Greenpeace Nederland (C-361/08) , see Case  C-359/08
362/08|ECLI:EU:C:2010:40|Judgment of 26 January 2010, Internationaler Hilfsfonds / Commission (C-362/08 P, ECR 2010 p. I-669)
363/08|ECLI:EU:C:2009:732|Judgment of 26 November 2009, Slanina (C-363/08, ECR 2009 p. I-11111)
364/08|ECLI:EU:C:2008:593|Order of 24 October 2008, Vandermeir (C-364/08, ECR 2008 p. I-8087)
365/08|ECLI:EU:C:2010:283|Judgment of 20 May 2010, Agrana Zucker (C-365/08, ECR 2010 p. I-4341)
366/08|ECLI:EU:C:2009:546|Judgment of 10 September 2009, Adolf Darbo (C-366/08, ECR 2009 p. I-8439)
367/08|ECLI:EU:C:2008:777|Removed from the register on 23 December 2008, Commission / United Kingdom (C-367/08)
368/08|ECLI:EU:C:2009:326|Judgment of 19 May 2009, Commission / Greece (C-368/08, ECR 2009 p. I-89*, Summ.pub.)
369/08|ECLI:EU:C:2009:114|Removed from the register on 20 February 2009, Commission / Germany (C-369/08)
370/08|ECLI:EU:C:2010:284|Judgment of 20 May 2010, Data I/O (C-370/08, ECR 2010 p. I-4401)
371/08|ECLI:EU:C:2011:809|Judgment of 8 December 2011, Ziebell (C-371/08, ECR 2011 p. I-12735)
372/08|ECLI:EU:C:2009:287|Order of 5 May 2009, Atlantic Dawn and others / Commission (C-372/08 P, ECR 2009 p. I-74*, Summ.pub.)
373/08|ECLI:EU:C:2010:68|Judgment of 11 February 2010, Hoesch Metals and Alloys (C-373/08, ECR 2010 p. I-951)
374/08|ECLI:EU:C:2009:236|Removed from the register on 8 April 2009, Commission / Hungary (C-374/08)
375/08|ECLI:EU:C:2010:365|Judgment of 24 June 2010, Pontini and others (C-375/08, ECR 2010 p. I-5767)
376/08|ECLI:EU:C:2009:808|Judgment of 23 December 2009, Serrantoni and Consorzio stabile edili (C-376/08, ECR 2009 p. I-12169)
377/08|ECLI:EU:C:2009:423|Judgment of 2 July 2009, EGN (C-377/08, ECR 2009 p. I-5685)
378/08|ECLI:EU:C:2010:126|Judgment of 9 March 2010, ERG and others (C-378/08, ECR 2010 p. I-1919)
379/08|ECLI:EU:C:2010:127|Judgment of 9 March 2010, ERG and others (C-379/08 and C-380/08, ECR 2010 p. I-2007)
380/08||ENI (C-380/08) , see Case  C-379/08
381/08|ECLI:EU:C:2010:90|Judgment of 25 February 2010, Car Trim (C-381/08, ECR 2010 p. I-1255)
382/08|ECLI:EU:C:2011:27|Judgment of 25 January 2011, Neukirchinger (C-382/08, ECR 2011 p. I-139)
383/08|ECLI:EU:C:2010:681|Removed from the register on 16 November 2010, Commission / Italy (C-383/08)
384/08|ECLI:EU:C:2010:133|Judgment of 11 March 2010, Attanasio Group (C-384/08, ECR 2010 p. I-2055)
385/08|ECLI:EU:C:2010:801|Judgment of 22 December 2010, Commission / Poland (C-385/08, ECR 2010 p. I-178*, Summ.pub.)
386/08|ECLI:EU:C:2010:91|Judgment of 25 February 2010, Brita (C-386/08, ECR 2010 p. I-1289)
387/08|ECLI:EU:C:2009:235|Order of 3 April 2009, VDH Projektentwicklung and Edeka Rhein-Ruhr / Commission (C-387/08 P, ECR 2009 p. I-56*, Summ.pub.)
388/08|ECLI:EU:C:2008:669|Judgment of 1 December 2008, Leymann and Pustovarov (C-388/08 PPU, ECR 2008 p. I-8993)
389/08|ECLI:EU:C:2010:584|Judgment of 6 October 2010, Base and others (C-389/08, ECR 2010 p. I-9073)
390/08|ECLI:EU:C:2009:313|Judgment of 14 May 2009, Commission / Luxembourg (C-390/08, ECR 2009 p. I-82*, Summ.pub.)
391/08|ECLI:EU:C:2009:785|Order of 15 December 2009, Dow AgroSciences and others / Commission (C-391/08 P(R), ECR 2009 p. I-219*, Summ.pub.)
392/08|ECLI:EU:C:2010:164|Judgment of 25 March 2010, Commission / Spain (C-392/08, ECR 2010 p. I-2537)
393/08|ECLI:EU:C:2010:388|Judgment of 1 July 2010, Sbarigia (C-393/08, ECR 2010 p. I-6337)
394/08|ECLI:EU:C:2009:334|Order of 3 June 2009, Zipcar / OHIM (C-394/08 P, ECR 2009 p. I-95*, Summ.pub.)
395/08|ECLI:EU:C:2010:329|Judgment of 10 June 2010, Bruno and others (C-395/08 and C-396/08, ECR 2010 p. I-5119)
396/08||Lotti and Matteucci (C-396/08) , see Case  C-395/08
397/08|ECLI:EU:C:2009:573|Removed from the register on 23 September 2009, Commission / Portugal (C-397/08)
398/08|ECLI:EU:C:2010:29|Judgment of 21 January 2010, Audi / OHIM (C-398/08 P, ECR 2010 p. I-535)
